text,EID
"Automatic Phase Sequence Detection in BLDC Motor Drives with Hall Sensors Brushless DC (BLDC) motors with hall effect sensors are one of the most common arrangements in electric vehicle drives, particularly in E-rickshaw type of applications. The drive operation is dependent on the hall sensor signals that correspond to particular rotor position in an electrical cycle. Each hall is placed in fixed spatial configuration against the three phase stator windings. Thus, hall signal pattern is fixed against fixed motor phase sequence in clockwise or counterclockwise rotation. This sequence locking is necessary for the drive operation. If correct sequencing is not used for connecting motor phase or hall terminals with controller terminals, the phase sequence detected by the controller is different from the actual sequence. The switching pattern implemented by the controller is incorrect in such a case. This paper presents a scheme for automatic phase detection and subsequent correction in controller without requiring physical reconnection of motor phase windings. © 2024 IEEE.",2-s2.0-85208470942
"Estimation of the equipment residual lifetime in major hazard industries by using a virtual sensor Prognostic is central in the management of components and production systems, structures and infrastructures. It aims estimating their health status and predicting residual useful lifetime, based on data and information related to degradation processes, the normal plant operability and the environmental conditions. Trustable estimates of the residual lifetime for systems allow achieving several goals, including a safe conduction of operations, an efficient operability that allows predictive maintenance actions and the extension of operational lifetime, under safety conditions. This point is particularly important in the context of the chemical and process industry, that is subject to the Seveso Directive. This normative recently imposed the plant operator to assess and manage equipment aging by redacting a detailed aging management plan. As a consequence, methods and tools are being developed for the assessment and management of deterioration mechanisms at major hazard industries. This paper presents the results related to the development of a virtual sensor for the estimation of the residual lifetime of the industrial equipment. In the initial version, the virtual sensor uses simplified models for the aging forecasting and information collected during audits and the equipment monitoring. Preliminary results of the implementation and testing of the initial version of the virtual sensor are shown by means of its application to a case-study. Copyright © 2019 European Safety and Reliability Association.",2-s2.0-85089200242
"A Fault Diagnosability Evaluation Method for A Class of Affine Nonlinear Systems Considering Sensor Faults In the present study of fault diagnosability of nonlinear systems, the fault diagnosability of sensor fault is not considered. The paper considered the sensor fault and the fault diagnosability evaluation method for a class of affine nonlinear systems is proposed by using the theory of differential geometry. The diagnosability of faults is regarded as an inherent property of the system and does not change with the change of diagnostic methods. Based on the controllability and observability decomposition theorems, the controllability distribution and observability distribution of faults are defined, and then the detectability and isolability criteria between process faults and sensor faults are given based on the containment relationship between each distribution. The analysis results show that the proposed method is suitable for the system which exists sensor faults.  © 2021 IEEE.",2-s2.0-85125170559
"A deep adversarial approach based on multisensor fusion for remaining useful life prognostics Multi-sensor systems are proliferating the asset management industry and by proxy, the structural health management community. Asset managers are beginning to require a prognostics and health management system to predict and assess maintenance decisions. These systems handle big machinery data and multi-sensor fusion and integrate remaining useful life prognostic capabilities. We introduce a deep adversarial learning approach to damage prognostics. A non-Markovian variation inference-based model incorporating an adversarial training algorithm framework was developed. The proposed framework was applied to a public multi-sensor data set of turbofan engines to demonstrate its ability to predict remaining useful life. We find that using the deep adversarial based approach results in higher performing remaining useful life predictions. © 2019 European Safety and Reliability Association. Published by Research Publishing, Singapore.",2-s2.0-85089201458
"Actuator Load Estimation From Distributed Optical Sensing of Airframe Deformation Real-time health monitoring of flight control actuators usually involves the comparison of measured signals either with numerical models or with statistical data. As the external loads experienced by the system influence the operation of most actuators, such loads are a useful quantity to compare with the actuator output and perform on-board fault detection. In common flight controls, the actuator load is not directly available as a measured signal, due to the reliability and complexity penalties often associated to the installation of dedicated sensors and transducers. In this work, we discuss the use of distributed sensing of the airframe strain to infer the aerodynamic loads acting on the flight control actuator. We address a specific sensing technology based on Fiber Bragg Gratings (FBGs) as it combines a good accuracy with minimal invasivity and low complexity. Specifically, we combined a structural and an aerodynamic model to collect a database to train data-driven surrogates intended to map from strain measures to actuator load. Figure 1 displays the information flow of the proposed process. © ESREL 2021. Published by Research Publishing, Singapore.",2-s2.0-85135443259
"Estimating the remaining useful life of a flow distribution system Flow distribution systems (FDS) are widely used in many industrial processes when it is necessary to distribute products in several ways and then to collect them into one or several discharge destinations, such as water supply, heat supply, electricity supply network, etc. The maintenance decisions on a flow distribution system are challenging because the degradation of individual components is independent and not fully detectable. It can lead to inaccurate diagnostic and prognostic results. Industrial systems are often equipped with multiple sensors on each component to collect the efficient information that helps computing the remaining life of the system (RUL). As multiple data are captured, it is a multiple outputs system. This paper proposes an Input-Output Hidden Markov Model (IOHMM) for RUL assessment to maintenance aid decision making of a multi-component flow distribution system. The components are considered independently for the diagnostic and prognostic of their health conditions and thus of the system. The goal of this paper is to find the best path to know the health conditions of the components for supplying the demand to the destination. The study offers an optimal solution in two steps to keep the system alive longer while it can fulfil customer needs. The first step is the independent monitoring of all components to determine the most appropriate supply planning strategy. The second step is to identify all the possible routes where the flow gets through different components for discharging to the destinations. This aims to benefit such as the alternative flow paths or maintenance activities at the system level. The operating conditions are considered as inputs for each of the components independently. © ESREL2020-PSAM15 Organizers. Published by Research Publishing, Singapore.",2-s2.0-85107271596
"High integrity multi-sensor navigation system for safety critical applications The high increase of safety critical applications such as autonomous driving, Advanced Driver Assistance System (ADAS), Intelligent Transportation System (ITS) and many applications that can cause human or economic losses pose a significant challenge of navigation integrity. Although the integrity concept is not new, a major challenge in these applications is to ensure both high accuracy and high integrity in very challenging environments. In response to the high requirements of these applications, this paper will present a high integrity multi-sensor navigation system specially designed for safety critical applications. The system is composed of a MEMS Inertial Measurement Unit (IMU), a multi-constellation multi-frequency GNSS receiver and an odometer communicating via a CAN bus. A tightly coupled solution [1] based on an Extended Kalman Filter (EKF) has been developed by SBG-Systems to fuse all these sensors to deliver a high accuracy and availability especially in complex environments where satellites signals are prone to attenuation or even unavailability. In addition, advanced vehicle modeling and constraints [2] have been added with respect to the motion profile to provide a navigation solution for the targeted applications. The integrity management starts with the correction service such as the State Space Representation Corrections (SSR) [3]; many services now provide SSR corrections over the world with integrity messages. Another challenging aspect of robust navigation is the integration of an Advanced Receiver Autonomous Integrity Monitoring (ARAIM) [4], which can be defined as a two steps process. First, a Fault Detection and Exclusion (FDE) is performed, then if a consistent solution is found the Protection Levels (PL) are calculated [5]. The system will assure a continuous monitoring of multiple integrity indicator, the PL will be computed and compared to an Alert Limit (AL) threshold to notify the user about system availability. During the GNSS outages, the INS and the odometer not only keep the precision of the position solution, but also scale and propagate the PL using the inertial models [6]. This paper also focuses on the integrity assessment of the developed system. Indeed, an extensive test campaign has been conducted to evaluate the maturity of the technology and its compliance with autonomous vehicles requirements. Several ranges of products and configurations are tested to measure the performance driving factors and evaluate the typical use case. © 2021 Proceedings of the 34th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS+ 2021. All rights reserved.",2-s2.0-85120872809
"Online framework of prognostic and health management for cmg under multiphysics Control moment gyroscope (CMG) is the key actuator of satellite and it is critical for monitoring health condition and maintenance. However, there are three challenges in health management. Firstly, the environment where a CMG works is complex and is hard to be decomposed into the receiver and the affected, which brings difficulty to estimate the performance of CMG. Secondly, because of design requirement and installation cost, the vibration sensor, which is regarded as a key health indication other industrial background, is unavailable. Finally, missing data is a big data with unconnected base stations for transforming collected sensor data, decreasing the accuracy of online CMG health condition estimation and rest useful life (RUL) prediction. To face these challenges, this paper proposed a system framework of prognostic and health management considering environment. The contributions in this paper include: 1) introducing a relationship between temperature, current and speed of high-speed bearing to depict the degeneration process. 2) considering the environmental effect on system and designing a duel-flow deep learning model to detect abnormal time serial data. 3) proposing a workflow before data training for estimate missing data. 4) Describing software architecture for spacecraft diagnostics and health management. Finally, experiments and an application example will demonstrate the efficiency of proposed method and framework. © ESREL2020-PSAM15 Organizers. Published by Research Publishing, Singapore.",2-s2.0-85107266326
"Fail-Aware Concept for Autonomous Driving Cars Condition monitoring is getting increased attention in the automotive industry. Especially the development of autonomous driving cars requires information about the health status of a vehicle. Not a driver but the car itself has to react on a fault autonomously. Cars have to be built in a way that they are fail-safe, fail-operational, and fail-aware. This affects their architectures, the modules and subsystems used, and the semiconductors that are selected. The idea of the fail-aware concept is to detect degeneration of a device and act before a failure occurs. This turns a potential failure into a maintenance action. Fail-aware reflects the health status of a device and is part of a prognostics and health management (PHM) system. In order to detect drift of electrical parameters of semiconductor devices, we use data from stress tests, like the high temperature operating life test1 (HTOL). At the HTOL test devices are electrically tested, then put to stress, tested again, and put to stress again. This is repeated until the required stress time is completed. We use the data from these electrical tests and correct them for tester offsets and for the measurement uncertainty2 . The drift is calculated for each device individually. We model the drift itself as a normally distributed random variable. In that way we are able to calculate the likelihood of a device to drift outside the specification limits during operation and the remaining useful life (RUL). As a example, an angle sensor may show some drift. This drift can be tracked in the autonomous driving car and the RUL can be calculated. On higher system levels data driven tools are used, like the weakness monitor3 . Such health status information can be made available via the on-board diagnostics system of an autonomous driving vehicle. © ESREL 2021. Published by Research Publishing, Singapore.",2-s2.0-85135441872
"Detection of Bond Wire Failure in Power Semiconductors by Adjacent Temperature Sensors In this work, a method for the detection of detached bond wires from the chip of a discrete power semiconductor is presented. For this, differences in the thermal behavior caused by manipulated bond wires are detected with four external temperature sensors adjacent to the device. For experimental verification of this method, multiple test devices with varying bond wire faults are subjected to a power pulse and the temperature response is recorded. Two different concepts for the interpretation of the measured data are presented. The suitability of both concepts is discussed and the sensor requirements for a successful fault detection are evaluated.  © 2022 IEEE.",2-s2.0-85147455983
