Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Electrical equipment / Power systems,Acoustic signals,Discharge type identification,Data driven,"['PCA', 'BP neural network']","Yes: PCA for feature extraction, neural network for classification",1,2-s2.0-105007640393
Industrial machinery / Bearings maintenance,Sensor data,Remaining Useful Life,Data driven,Singular values and Canonical Crosscorrelation,No,3,2-s2.0-85199551833
Battery management systems / Energy storage systems,Sensor data,Fault prediction,Data driven,Autoencoder,No,4,2-s2.0-86000480318
Power converters,['Sensor data'],['Fault prediction'],Rules and/or logic based,Signal filtering and feature extraction,Yes: rule-based equations,3,2-s2.0-85209942064
Energy storage systems,"Sensor data, Diagnostic information","Prognostic and Health Management (Remaining Useful Life, Fault prediction)",Data driven,"Predictive analytics, Real-time monitoring, Diagnostic algorithms (specific techniques not explicitly mentioned)",No,3,2-s2.0-85202344768
Logistics and Supply Chain Management,Sensor data,Operational efficiency / Predictive maintenance,Data driven,"Data-driven analytics (implied), possibly IoT-enabled sensor analytics",Yes: Data transparency and real-time tracking,2,2-s2.0-105001567747
Metro transportation systems,Sensor data,Remaining Useful Life,Data driven,Vector Autoregression,No,2,2-s2.0-85203677936
Power transformer systems,Sensor data,Fault prediction,Data driven,Optical fiber sensing,Yes: Interpretation of sensor signal readings,2,2-s2.0-85205664323
Telecommunications/Network infrastructure,Sensor data,Fault prediction,Data driven,Not specified,No,1,2-s2.0-85196735470
Water hydraulic robots,Structured data,Fault prediction,Rules and/or logic based,"['Kalman filter', 'Disturbance observer']","Yes: Kalman filter, disturbance observer",2,2-s2.0-85186266807
Medical devices,Sensor data,Remaining Useful Life,Data driven,Not specified,No,2,2-s2.0-85197881019
Overhead Power Transmission Lines,Sensor data,Fault prediction,Data driven,Magnetic and electromagnetic sensors analysis,Yes: rule-based analysis of magnetic field changes,3,2-s2.0-85212147093
Power transmission systems,Sensor data,Fault prediction,Data driven,"Signal processing, noise filtering",Yes: Signal processing techniques,1,2-s2.0-85212124379
Electrical Substation Equipment / Power Systems,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,4,2-s2.0-85200706843
Power infrastructure / Electrical power systems,Sensor data,Fault prediction,Data driven,"['Big data analysis', 'Machine learning']",No,4,2-s2.0-85207957293
Railway systems,"Sensor data, Images",Fault prediction,Data driven,Image processing algorithms,No,4,2-s2.0-85210243160
Other,Sensor data,Fault prediction,Data driven,Knowledge distillation,Yes: Knowledge distillation,2,2-s2.0-85203702103
Chip manufacturing,Sensor data,Fault prediction,Hybrid,Extended Luenberger observer,Yes: Interpretable model based on observer design,2,2-s2.0-85209916135
Industrial systems,Sensor data,Fault prediction,Data driven,AI approaches (unspecified),No,3,2-s2.0-85199554290
"Renewable energy systems (e.g., wind turbines, photovoltaic microgrids)",Sensor data,Fault prediction,Data driven,Temporal Graph Convolutional Autoencoder,No,4,2-s2.0-85203707755
Vehicles / Automotive systems,Sensor data,Fault prediction,Data driven,Deep neural networks,No,4,2-s2.0-85195150910
Industrial systems / Pump systems,"Sensor data, Time series",Fault prediction,Data driven,"['Random Forest', 'Decision Tree', 'Naive Bayes', 'Logistic Regression', 'Support Vector Machine', 'Long Short-Term Memory']","Yes: Decision Tree, Naive Bayes, Logistic Regression",4,2-s2.0-85203815947
Diesel engine systems,"Sensor data, Time series",Remaining Useful Life,Data driven,Machine learning,No,4,2-s2.0-85201283315
Composite materials manufacturing and testing,Sensor data,"Diagnostics, Monitoring",Data driven,Not explicitly specified,No,3,2-s2.0-85200571592
Power substations / Electrical systems,"Sensor data, Time series","Fault prediction, Remaining Useful Life",Data driven,"Support Vector Machine (SVM), Isolation Forest",No,3,2-s2.0-105000757681
Commercial refrigerators / Compressors,Structured data,Fault prediction,Data driven,Auto-encoder (AE),No,4,2-s2.0-86000476687
Electrical systems / Power system maintenance,Sensor data,Fault prediction,Data driven,CNN,No,4,2-s2.0-85218336083
"Critical infrastructures (e.g., bridges, roads, smart grids)","Sensor data, Heterogeneous data sources","Anomaly detection, Early warnings",Hybrid,"Rule-based processing, Predictive models",Yes: Rule-based processing,2,2-s2.0-85218353918
Gas Insulated Switchgear,Electrical and Optical data,Fault prediction,Data driven,Not specified,No,1,2-s2.0-85205716169
Aircraft systems,Sensor data,Fault prediction,Data driven,"['Particle Swarm Optimization', 'Convolutional Neural Network']",No,2,2-s2.0-105001672719
Chip manufacturing,Sensor data,Fault prediction,Data driven,Wavelet transforms,Yes: Signal processing techniques,4,2-s2.0-85212041920
