Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Aerospace / Navigation systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Extended Kalman Filter (EKF),Yes: Rules and filtering techniques,2.0,2-s2.0-85167810970
Industrial IoT applications,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"['CNN', 'RNN']",No,4.0,2-s2.0-85196096785
3D printing / Additive manufacturing,3D printing,,sensor data,Remaining Useful Life,Data driven,Prognostic model (likely machine learning or statistical modeling),Yes: decision support tool (implying interpretability of predictions and optimization),4.0,2-s2.0-85168427262
Civil infrastructure / Structural health monitoring,Civil infrastructure,,electro-mechanical impedance data,Damage classification,Data driven,"['Decision trees', 'Random forests', 'K-nearest neighbors', 'Support vector machines', 'Naive Bayes']","Yes: Decision trees, Random forests, K-nearest neighbors",3.0,2-s2.0-85201317790
Chip manufacturing,Chip manufacturing,,sensor data,Setup cost prediction,Data driven,Supervised learning,No,3.0,2-s2.0-85216668025
Satellite power systems,Satellite systems,,sensor data,Fault prediction,Hybrid,"['Fuzzy neighbourhood three-way decision (FN3WD)', 'Gaussian-mixture-model (EFSA-GMM)', 'Coding-with-knowledge-discrimination (CWKD)', 'MC-DCNN', 'MC-SVM', 'ML-DCNN', 'ML-SVM']",Yes: Knowledge-based and rule-based components,3.0,2-s2.0-85122626606
Process industries,Industrial systems,,"process control data, sensor data, and possibly structured process parameters","Fault detection, fault tolerant control, optimization, planning, scheduling",Reinforcement learning,Reinforcement Learning,No,2.0,2-s2.0-85184374776
Aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Model updates / Dynamic state mapping,Data driven,"Transformer Encoder, Lifelong Learning, Frozen-EWC",No,0.0,2-s2.0-85168748271
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"Markov models, Lyapunov theory",Yes: Lyapunov analysis and Markov models,3.0,2-s2.0-85126287322
Railway systems / Wheel/rail system,Transportation systems,Railway,audio signals / microphone data,Fault prediction / Fault identification and localisation,Rules and/or logic based,Kurtosis beamforming,Yes: Kurtosis-based method,3.0,2-s2.0-85067835259
Aerospace industry,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['ANFIS', 'SVM', 'Gaussian processes']",Yes: ANFIS,2.0,2-s2.0-85097591583
Light aircraft systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Unclear / Not specified,Self-organizing maps,Yes: Self-organizing maps,4.0,2-s2.0-85210256413
Farm machinery / Agriculture,Agriculture,,telematics data,Predictive maintenance / Maintenance needs,Data driven,"Predictive analytics (not explicitly specified, but implied to be data-driven modeling)",No,4.0,2-s2.0-85201139380
Smart farming,Agriculture,,"sensor data, big data analytics, iot data","Predictive maintenance, Real-time monitoring, Decision-making",Data driven,"AI, Big data analytics",No,1.0,2-s2.0-105008421699
Marine structures,Marine,marine,sensor data,Corrosion-induced thickness loss detection,Data driven,"Statistical pattern recognition, Machine learning",No,4.0,2-s2.0-85148737588
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Empirical Mode Decomposition (EMD)', 'Statistical complexity measures (SCM)', 'Stochastic resonance']",Yes: statistical complexity measures and empirical mode decomposition are interpretable techniques,3.0,2-s2.0-85125872513
Civil structures / Structural health monitoring (SHM),Civil infrastructure,,sensor data,Fault prediction,Hybrid,"Autoencoders, Particle filters",Yes: fault indicator modules with thresholds and probabilistic indicators,3.0,2-s2.0-85107872040
Aerospace / Rotorcraft UAVs,Aicraft / Aviation / Aerospace,,"sensor data, time series",Fault prediction,Data driven,Deep Forest,No,2.0,2-s2.0-85145590270
Aircraft engines,Aicraft / Aviation / Aerospace,,multivariate time series (mts),Remaining Useful Life,Data driven,"Graph signals transformation, multi-level feature extraction, smoothing technique",Yes: interpretability via hierarchical feature extraction and smoothing,4.0,2-s2.0-85206934786
Chip manufacturing,Chip manufacturing,,"['sensor data', 'time series', 'unstructured data']",['Fault prediction'],Data driven,"['Attention-1DCNN', 'Softmax regression']",No,4.0,2-s2.0-85219599283
Manufacturing / Grinding Machines,Manufacturing systems,,"sensor data, time series",['Fault prediction'],Data driven,"['Support Vector Machine', 'Learning Vector Quantization']",No,3.0,2-s2.0-85101539067
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Rules and/or logic based,Residual-based detection and adaptive thresholds,Yes: Residuals and thresholds,4.0,2-s2.0-85101634616
Bridges / Structural Health Monitoring,Civil infrastructure,Bridges,sensor data,Condition indicators / Deviation detection,Data driven,Statistical evaluation,Yes: Statistical analysis and visualization,2.0,2-s2.0-85202570011
Power transmission and transformation systems,Power systems,,"sensor data, images",['Fault prediction'],Data driven,,No,3.0,2-s2.0-85100730328
Industrial systems,Industrial systems,,"sensor data, time series, unstructured data","Fault prediction, Remaining Useful Life",Data driven,"Big data analytics, AI techniques",No,3.0,2-s2.0-105002701232
