Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Industrial IoT applications,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"['CNN', 'RNN']",No,4.0,2-s2.0-85196096785,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Setup cost prediction,Data driven,Supervised learning,No,3.0,2-s2.0-85216668025,['setup cost prediction'],['Fault prediction']
Process industries,Industrial systems,,"process control data, sensor data, and possibly structured process parameters","Fault detection, fault tolerant control, optimization, planning, scheduling",Reinforcement learning,Reinforcement Learning,No,2.0,2-s2.0-85184374776,"['fault detection', ' fault tolerant control', ' optimization', ' planning', ' scheduling']","['Other', 'Fault detection']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"Markov models, Lyapunov theory",Yes: Lyapunov analysis and Markov models,3.0,2-s2.0-85126287322,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Empirical Mode Decomposition (EMD)', 'Statistical complexity measures (SCM)', 'Stochastic resonance']",Yes: statistical complexity measures and empirical mode decomposition are interpretable techniques,3.0,2-s2.0-85125872513,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"['sensor data', 'time series', 'unstructured data']",['Fault prediction'],Data driven,"['Attention-1DCNN', 'Softmax regression']",No,4.0,2-s2.0-85219599283,['fault prediction'],['Fault prediction']
Manufacturing / Grinding Machines,Manufacturing systems,,"sensor data, time series",['Fault prediction'],Data driven,"['Support Vector Machine', 'Learning Vector Quantization']",No,3.0,2-s2.0-85101539067,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Rules and/or logic based,Residual-based detection and adaptive thresholds,Yes: Residuals and thresholds,4.0,2-s2.0-85101634616,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series, unstructured data","Fault prediction, Remaining Useful Life",Data driven,"Big data analytics, AI techniques",No,3.0,2-s2.0-105002701232,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
Industrial assets / Structural health monitoring,Industrial systems,,sensor data,Asset health monitoring,Data driven,Not specified,No,2.0,2-s2.0-85219629578,['asset health monitoring'],['Other']
Manufacturing production lines,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['Random Forest', 'XGBoost']",No,4.0,2-s2.0-105002705678,['fault prediction'],['Fault prediction']
"Industrial liquids and process control systems (e.g., Tank systems, liquid-level control in food industries, petrochemicals)",Industrial systems,liquids,structured data,Fault prediction,Rules and/or logic based,"['Unknown input observer (UIO)', 'Parity methods', 'Factorization methods']",Yes: thresholding residuals and model-based detection methods are interpretable,2.0,2-s2.0-85185563016,['fault prediction'],['Fault prediction']
Power semiconductor manufacturing,Chip manufacturing,,"sensor data, time series",Fault prediction,Physics informed,"Thermal simulation, Data analysis",Yes: physics-based simulation and rule-based interpretation,3.0,2-s2.0-85106421439,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,"sensor data, time series",Predictive maintenance (equipment problems),Data driven,"Machine learning (classification, regression, time series forecasting)",No,4.0,2-s2.0-105002704574,['predictive maintenance (equipment problems)'],['Predictive maintenance']
Industrial machinery / manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,Artificial Intelligence-powered analytics,No,3.0,2-s2.0-85186663506,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,sensor data,Quality variable prediction,Knowledge based,Graph convolutional network (GCN),Yes: interpretability through prior graphs,3.0,2-s2.0-85205695140,['quality variable prediction'],['Fault prediction']
Industrial systems (specifically electrical motor bearing systems),Industrial systems,Rotating machinery / Bearings,"sensor data, time series",['Fault prediction'],Data driven,"['Empirical Mode Decomposition (EMD)', 'Backpropagation Neural Network (BNN)']",No,4.0,2-s2.0-85127002510,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series, images",Fault prediction,Data driven,"Deep transfer learning, SqueezeNet",No,4.0,2-s2.0-85138828495,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,iot data,Fault prediction,Data driven,"AutoML, interpretable ML algorithms",Yes: interpretable ML algorithms,3.0,2-s2.0-85215789664,['fault prediction'],['Fault prediction']
Industrial systems / Mechanical equipment (Rolling Bearings),Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"Variational Autoencoder (VAE), Generative Adversarial Network (GAN)",No,3.0,2-s2.0-85219595020,['fault prediction'],['Fault prediction']
Manufacturing equipment / Moulding machine in beverage industry,Manufacturing systems,,sensor data,Remaining Useful Life,Hybrid,"Event-based genomics, Weibull failure-rate analysis",Yes: Event-based genomics and Weibull analysis,4.0,2-s2.0-85093976423,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"['Support Vector Machine (SVM)', 'Gravity Search Algorithm (GSA)']",Yes: Support Vector Machine (SVM),4.0,2-s2.0-85219620460,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning,No,3.0,2-s2.0-85205771179,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Interval observers, Linear Matrix Inequalities (LMIs), H∞ and L∞ formalisms",Yes: Interval observers and LMIs are interpretable techniques,3.0,2-s2.0-85092169576,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Maximum likelihood estimation (MLE), Wiener process","Yes: Correlation analysis, degradation signal transformation, Wiener process model",4.0,2-s2.0-85219592605,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,"Random Forest, LSTM, autoencoders","Partially: Random Forest (interpretable), LSTM and autoencoders (less interpretable)",4.0,2-s2.0-105002704317,"['remaining useful life', ' fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Various classifiers (e.g., machine learning classifiers)",No,4.0,2-s2.0-85199443655,['remaining useful life'],['Remaining Useful Life']
Commercial buildings,Commercial buildings,,structured data,Fault prediction,Rules and/or logic based,Unknown input observers (UIO),Yes: Rules and/or logic based,4.0,2-s2.0-85098321344,['fault prediction'],['Fault prediction']
Rotating machinery health monitoring,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Sparse nonnegative Tucker decomposition (sNTD),Yes: Decomposition methods,5.0,2-s2.0-85202570611,['fault prediction'],['Fault prediction']
Industrial devices / machinery,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Functional principal component analysis (FPCA),Yes: FPCA,4.0,2-s2.0-85219600038,['remaining useful life'],['Remaining Useful Life']
Industrial systems involving induction motor drives,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Third Difference Operator (TDO), logic circuits, estimation methods",Yes: rules and logic-based methods,2.0,2-s2.0-85152395184,['fault prediction'],['Fault prediction']
Bicycle maintenance or consumer goods (not typically included but related to industrial predictive maintenance),Industrial systems,bicycle,"sensor data, sound data","Fault prediction, Chain malfunction identification",Data driven,"Digital signal analysis (implying signal processing techniques), possibly ML if specified",No,2.0,2-s2.0-85100313287,"['fault prediction', ' chain malfunction identification']","['Fault prediction', 'Other']"
Steel mill plant,Factory,,"sensor data, images",['Fault prediction'],Hybrid,['Image processing'],Yes: Information visualization for human-machine interaction,3.0,2-s2.0-85088533067,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,"sensor data, structured data","['Fault prediction', 'Root cause analysis']",Data driven,"Threshold-based rules, Sensor-based detection",Yes: Rules-based thresholds and sensor readings,4.0,2-s2.0-85123941498,"['fault prediction', 'root cause analysis']","['Fault prediction', 'Root cause analysis']"
Induction motor bearing fault detection (within industrial motors/ machinery),Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Hybrid,"['Signal processing', 'Machine learning', 'Digital Twin']","Yes: Digital Twin, signal processing, and rule-based components provide interpretability",4.0,2-s2.0-105002281893,['remaining useful life'],['Remaining Useful Life']
Industrial manufacturing / production systems,Industrial systems,,structured data,Failure prediction,Data driven,Artificial Neural Network (ANN),No,3.0,2-s2.0-85087062354,['failure prediction'],['Fault prediction']
Industrial assets,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning microservices,No,4.0,2-s2.0-85205834093,['fault prediction'],['Fault prediction']
Vibration sensors / Condition monitoring,Vibration sensors / Condition monitoring,,sensor data,Data compression / Data reduction,Data driven,"['K-means clustering', 'Discrete Cosine Transform (DCT)']",Yes: K-means clustering,2.0,2-s2.0-85100899908,['data compression / data reduction'],['Other']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Hybrid,"Machine learning, multi-physics simulation",No,4.0,2-s2.0-85178620665,['remaining useful life'],['Remaining Useful Life']
Manufacturing - Cutting Tools / Machinery,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,"Decision Trees, Similarity-based models",Yes: Decision Trees,2.0,2-s2.0-85202516231,['remaining useful life'],['Remaining Useful Life']
Industrial pumps,Industrial systems,,electrical signals,Fault prediction,Data driven,Denoising convolutional autoencoder,No,4.0,2-s2.0-85185567164,['fault prediction'],['Fault prediction']
"Complex equipment in industrial systems (general), possibly aerospace or navigation systems",Industrial systems,,"['bus data', 'communication protocol data', 'sensor data (implied)']","['Fault prediction', 'Anomaly detection', 'State estimation']",Data driven,['Support Vector Machine'],Yes: Support Vector Machine,3.0,2-s2.0-85126218488,"['fault prediction', 'anomaly detection', 'state estimation']","['Fault prediction', 'Other', 'Fault detection']"
Motor systems / Rotating machinery,Rotating machinery,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,Input-output model identification,Yes: Input-output model identification,2.0,2-s2.0-85103213110,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Autoencoder, CNN",No,2.0,2-s2.0-85124598678,['fault prediction'],['Fault prediction']
Vibration Data Acquisition System (VDAS) in condition monitoring,Rotating machinery,,"sensor data, time series",['Fault prediction'],Data driven,"['1D Convolutional Neural Network (1DCNN)', 'Bayes algorithm']",Yes: Bayes algorithm,4.0,2-s2.0-85126898874,['fault prediction'],['Fault prediction']
Industrial motors / Motor systems,Industrial systems,,sensor data,Fault prediction,Data driven,"FFT (Fast Fourier Transform), spectral analysis, normalization, feature extraction",Yes: spectral analysis and feature extraction provide interpretable features,4.0,2-s2.0-85125337635,['fault prediction'],['Fault prediction']
Data centers,Data center,,sensor data,Fault prediction,Hybrid,"Subspace identification, Model predictive control, State estimator",Yes: Rules and ML,4.0,2-s2.0-85083431464,['fault prediction'],['Fault prediction']
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85088876986,['fault prediction'],['Fault prediction']
Industrial automation / Manufacturing,Industrial systems,,sensor data,None specified,Other,None mentioned,No,0.0,2-s2.0-85100536371,['none specified'],['Other']
Industrial automation / Manufacturing systems,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85113414056,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Artificial Neural Network']",No,3.0,2-s2.0-85085925541,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,Chip manufacturing,sensor data,Fault prediction,Data driven,Ensemble learning,No,4.0,2-s2.0-85096898042,['fault prediction'],['Fault prediction']
Industrial systems / Machinery fault diagnosis,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,,No,3.0,2-s2.0-85123414882,['fault prediction'],['Fault prediction']
Industrial facilities and automation systems,Industrial systems,,sensor data,Fault prediction,Data driven,Fractional-order chaotic system,No,2.0,2-s2.0-85126882948,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85118437336,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,"['Kalman Filter', 'Gaussian Mixture Model', 'Principal Component Analysis', 'Expectation-Maximization']",Yes: Kalman Filter and GMM are interpretable models,4.0,2-s2.0-85113416819,['fault prediction'],['Fault prediction']
Pharmaceutical facilities,Pharmaceutical facilities,,sensor data,Decision making,Data driven,,No,2.0,2-s2.0-85100564986,['decision making'],['Other']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['Random Forest', 'LSTM']",No,4.0,2-s2.0-85126833978,['fault prediction'],['Fault prediction']
