"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"","","","","2024","Machine failure prediction using sensor data: Sensor readings and machine failures for predictive maintenance","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010199651&partnerID=40&md5=43c44e0cc5da6191a6baa62b2eaebcb1","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010199651"
"","","","Next-Generation IoT Applications for Fault Detection in Electrical Networks","2024","Future Energy Research","18","3","","333","349","16","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004547927&partnerID=40&md5=f066eee95bbcd4b060fe7efb99cc9ef0","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004547927"
"","","","IoT Based Automatic Fault Detection in Low Transmission Line","2024","International Journal of Electrical Power System and Technology","10","1","","8","13","5","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010228988&partnerID=40&md5=e17d71e9f760b34b12b75d05c233d188","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010228988"
"","","","Predictive Maintenance Strategies for Sustainable IoT-Enabled Medical Systems","2025","Preprints","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004827772&partnerID=40&md5=e7bfcd086f2b8ed470e44a678c520d17","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004827772"
"","","","IOT based smart street light fault detection management system","2024","World Journal of Advanced Research and Reviews","21","3","","1659","1666","7","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010186298&partnerID=40&md5=88006a904e00a998a2f90a99710eea89","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010186298"
"","","","An online fault detection and diagnosis method of sensors in district heating substations based on long short-term memory network and adaptive threshold selection algorithm","2024","","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200824126&partnerID=40&md5=11dc39160171f18ba9d323b7afec7a94","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85200824126"
"","","","Bias Fault Detection of Temperature Sensor in Cold System Based on BOA-SVM","2025","Control Theory & Applications","2024","","","1","9","8","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004657579&partnerID=40&md5=c89127b94f5db831e9898c1e4d6edae1","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004657579"
"","","","Fault detection and fault-tolerant control for discrete-time multiagent systems with sensor faults: A data-driven method","2023","IEEE Trans. Ind. Electron.","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212920590&partnerID=40&md5=ca97bf43d42c862710792c69be6db849","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85212920590"
"","","","Internet of things (IoT)-Integrated predictive maintenance strategies for hydrogen infrastructure","2025","Appl Energy","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002635996&partnerID=40&md5=745c45e22aecd07bb2b8b6947ad00ab2","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105002635996"
"","","","IoT-Driven Predictive Maintenance for Enhanced Energy Efficiency in Industrial Systems","2024","IEEE Transactions on Industrial Informatics","68","3","","112","125","13","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200950880&partnerID=40&md5=ca25555fe8c62878f9f3991945654998","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85200950880"
"","","","Application of Electromagnetic Sensors for Arc Fault Detection in Power Systems","2024","Int. J. Electr. Power Energy Syst","129","","","106915","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205065953&partnerID=40&md5=36525f1bde57faa8a3746ed918d21f6e","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85205065953"
"","","","Securing IoT-Powered Fault Detection Systems in Power Distribution Networks","2024","IEEE Smart Grid Transactions","15","6","","1101","1116","15","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004551117&partnerID=40&md5=cc5a8acce7447fa8cd818f0a8cf1e198","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004551117"
"","","","Enhancing Fault Detection in Distributed Motor Systems Using AI-Driven Cyber-Physical Sensor Networks","2024","ECSA-11. MDPI, Basel Switzerland, P. 78","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009988848&partnerID=40&md5=07f491a33d03703aa10e31b038cad881","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105009988848"
"","","","Fault detection and fault-tolerant control of switched reluctance motor based on dual-sensor current detection scheme","2024","IEEE Transactions on Transportation Electrification","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217273516&partnerID=40&md5=66e10a28bcf0fdc5fbcd72a73a4c5075","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85217273516"
"","","","IOT Based Railway Track Fault Detection System","2024","Inter- national Journal of Control, Automation, and Systems","12","2","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198386510&partnerID=40&md5=e33e0ff3b4ef88232234621661f5bfc3","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85198386510"
"","","","Advancing Industrial IoT and Industry 4.0 through Digital Twin Technologies: A comprehensive framework for intelligent manufacturing, real-time analytics and predictive maintenance","2025","World J. Adv. Eng. Technol. Sci","14","","","228","240","12","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008962647&partnerID=40&md5=448e2e2164c71a8ceb495e713827cce7","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105008962647"
"","","","Measurements: Sensors","2024","Advancements in predictive maintenance modelling for industrial electrical motors: Integrating machine learning and sensor technologies","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007115117&partnerID=40&md5=81c1b2bee283312d76e55b69b290fee4","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105007115117"
"","","","FAULT DETECTION IN A 3-PHASE UNDERGROUND SYSTEM USING ARDUINO AND IOT MODULES","2024","I-manager's Journal on Electrical Engineering","17","","","3","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010190210&partnerID=40&md5=941f43faac8b366c0495ece39ed6d630","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010190210"
"","","","Integrating 5G, UAV Systems, and NFV Technologies: Transformative Advancements in Secure Communication, Predictive Maintenance, and Autonomous Navigation Across Key Sectors","2024","Journal of Industrial IoT Technologies","14","3","","1","18","17","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001123406&partnerID=40&md5=1ef49fa9be68a3dff3e0cc30eeeb2468","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105001123406"
"","","","Predictive maintenance using IoT and machine learning: A review","2024","IEEE Trans. Ind. Informat","20","2","","1234","1245","11","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218117596&partnerID=40&md5=cbe1bd6197c1ffc3fc51e247d6107712","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218117596"
"","","","IoT-Enabled Predictive Maintenance for Sustainable Transportation Fleets","2024","MATEC Web Conf","392","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207094187&partnerID=40&md5=02175af2659b51aa81a8b5e4b39eee50","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85207094187"
"","","","Fault detection in iot sensor networks with xailcs: Explainable ai-driven diagnosis for low-cost sensor","2024","Journal of Electrical Systems","20","4 S","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004561050&partnerID=40&md5=2a46bbe62ff5d8589e4a0942c806ee6b","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004561050"
"","","","Machine learning algorithms for predictive maintenance in wireless sensor networks","2024","Int. J. Sci. Innov. Eng.","1","1","","1","8","7","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006499525&partnerID=40&md5=ce7bef24c0362828ebc205c8e98d00c9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105006499525"
"","","","Fault detection and monitoring hybrid power plant by using IOT","2025","Int. Res. J. Modernization in Eng. Tech. Sci","4","6","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186909241&partnerID=40&md5=a7478557b8f790abf0c9e3fb52af0fd3","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85186909241"
"","","","","2024","Predictive maintenance in Industrial IoT using Machine Learning approach","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010989882&partnerID=40&md5=34606fdad27025f5eda1b59ed7d1bc6a","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010989882"
"","","","Predictive Maintenance in Wastewater Treatment via IoT Technology","2024","Water Science and Technology","69","4","","865","878","13","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007287338&partnerID=40&md5=38c380c9d42a0397fe0358c19f8fab62","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105007287338"
"","","","Role of Wireless Communication in Enhancing IoT Fault Detection Systems","2024","Journal of Wireless Networks","30","7","","1200","1216","16","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004554517&partnerID=40&md5=e0fd735d63c0598bc518b9148cea428c","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004554517"
"","","","An IoT and machine learning-based predictive maintenance system for industrial equipment","2024","J. Manuf. Syst","70","","","348","358","10","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218107089&partnerID=40&md5=d94b098b318effb5b55b2f058bec01c9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218107089"
"","","","IoT Enabled Motor Drive Vehicle for the Early Fault Detection in New EnergyConservation","2024","Journal of Sensors, IoT & Health Sciences","2","3","","1","12","11","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210132834&partnerID=40&md5=7924b61b2cd4402ff206955ed221903a","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85210132834"
"","","","Predictive maintenance using machine learning in industrial IoT","2024","Int J Innov Sci Res Technol","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006418076&partnerID=40&md5=f91820613800e52634f6420bf6bfc0ed","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105006418076"
