"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zou W.; Li H.; Gao D.-C.; Wang S.","Zou, Wenke (57892460600); Li, Hangxin (56189248600); Gao, Dian-ce (36909907100); Wang, Shengwei (7410349001)","57892460600; 56189248600; 36909907100; 7410349001","A physics-guided self-adaptive chiller sequencing controller of enhanced robustness and energy efficiency accommodating measurement uncertainties","2025","Applied Energy","389","","125718","","","","0","10.1016/j.apenergy.2025.125718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000454768&doi=10.1016%2fj.apenergy.2025.125718&partnerID=40&md5=c83f23dfa173cf3162964508070f904f","For multi-chiller systems commonly applied in commercial buildings, a reliable chiller sequencing control strategy makes a crucial contribution to ensure robust and energy-efficient operation. However, the commonly used chiller sequencing control strategy often deviates from expectations significantly due to common sensor measurement uncertainties encountered in practice. To address this problem, this study proposes a physics-guided chiller sequencing control strategy that improves the system's robustness and energy efficiency by adaptively adjusting chiller switching thresholds to accommodate sensor measurement uncertainties. First, a physics-guided fault detection and diagnosis (FDD) supervisor is developed to diagnose the fault types associated with each chiller-ON event under the corresponding switching thresholds. Subsequently, based on the identified fault type, a self-adaptive switching threshold supervisor is developed to adaptively adjust the chiller switching thresholds (i.e., key parameters for determining the chiller stages) for mitigating the adverse impacts resulting from the sensor measurement uncertainties. The test results show that the proposed control strategy can significantly enhance the robustness under negative measurement uncertainties and save the total system energy consumption by up to 7.46 % without sacrificing robustness under positive measurement uncertainties. © 2025","Chiller sequencing control; Energy efficiency; Fault detection and diagnosis; Measurement uncertainties; Robustness","Adaptive control systems; Cooling systems; Fault detection; Chiller sequencing control; Chiller system; Control strategies; Energy; Fault detection and diagnosis; Fault types; Measurement uncertainty; Robustness; Sensor measurements; Switching thresholds; detection method; energy efficiency; measurement method; sensor; uncertainty analysis; Robustness (control systems)","Article","Final","","Scopus","2-s2.0-105000454768"
"Yu B.; Liu W.; Xie D.; Cui X.; Zhang H.","Yu, Bosheng (59478679700); Liu, Wenhe (59954424000); Xie, Daxing (59478654000); Cui, Xiao (59954810300); Zhang, Huisheng (7409191357)","59478679700; 59954424000; 59478654000; 59954810300; 7409191357","A novel gas turbine performance prediction model incorporating the residual connection and feature engineering methods","2025","Energy","332","","137251","","","","0","10.1016/j.energy.2025.137251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008504845&doi=10.1016%2fj.energy.2025.137251&partnerID=40&md5=4778dd695117892de09ebfb87997689d","With the growing share of renewables, gas turbines (GTs) are increasingly operating under part-load conditions. Although existing models can accurately predict performance at both design-and off-design conditions, they often overlook part-load conditions. Besides, during full-load modeling, the mismatch between ideal operational data (with fully opened IGV) and actual operational data (with nearly fully opened IGV) may introduce additional modeling errors. Moreover, existing part-load performance prediction methods are typically implemented based on specific assumptions that only work under certain preconditions. To tackle these problems, a novel GT full-and part-load performance prediction model is proposed. First, the baseline model is established, serving as a solid foundation for subsequent correcting. Then, the IGV correction coefficients are calculated to quantify the baseline model's prediction bias caused by varying IGV positions. Subsequently, a multi-layer perceptron (MLP) enhanced with residual connection and feature engineering techniques is developed to accurately predict the IGV correction coefficients. Due to the small amount of input variables and training samples, feature generation and feature analysis methods are adopted to improve the prediction accuracy. Moreover, the residual connection is incorporated to partially mitigate the gradient vanishing phenomenon. Finally, the trained model is integrated into the physics model to calculate the corrected performance. The actual data adopted from various operating conditions are utilized to verify its efficiency and accuracy. The average prediction error is less than 1.59 %, indicating that the proposed method can accurately predict GT performance under both full- and part-load conditions, thereby providing a solid foundation for fault diagnosis. © 2025","Gas turbine; Performance prediction; Physics-data driven","Electric load forecasting; Failure analysis; Gas engineering; Prediction models; Data driven; Feature engineerings; Full-load; Gas turbine performance; Part load conditions; Performance; Performance prediction; Performance prediction models; Physic-data driven; Physics data; accuracy assessment; correction; detection method; foundation; performance assessment; turbine; Fault detection","Article","Final","","Scopus","2-s2.0-105008504845"
"Cao C.; Li Z.; Wang J.; Zhang J.; Li Y.; Wang Q.","Cao, Chen (55822993100); Li, Zheng (59586732900); Wang, Jialin (59586733000); Zhang, Jiayu (59590062700); Li, Ying (59586733100); Wang, Qingli (59585895600)","55822993100; 59586732900; 59586733000; 59590062700; 59586733100; 59585895600","Research on Simulation Analysis and Joint Diagnosis Algorithm of Transformer Core-Loosening Faults Based on Vibration Characteristics","2025","Energies","18","4","914","","","","1","10.3390/en18040914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218474165&doi=10.3390%2fen18040914&partnerID=40&md5=aa04e97b0b372d437e3963e3551b77e8","The existing methods for transformer core-loosening fault diagnosis primarily focus on fundamental frequency analysis, neglecting higher-frequency components, which limits early detection accuracy. This study proposes a comprehensive approach integrating full-band vibration analysis, including high-order harmonics, to enhance diagnostic precision. A theoretical model coupling magnetostriction and thermodynamics was developed, combined with empirical mode decomposition (EMD) and Pearson’s correlation coefficient for fault characterization. A 10 kV transformer core vibration test platform was constructed, capturing signals under normal, partially loose, and completely loose states. The simulation results aligned with the experimental data, showing vibration accelerations of 0.01 m/s2 (Phase A) and 0.023 m/s2 (Phase B). A multi-physics coupling model incorporating Young’s modulus variations simulated core loosening, revealing increased high-frequency components (up to 1000 Hz) and vibration amplitudes (0.2757 m/s2 for complete loosening). The joint EMD–Pearson method quantified fault severity, yielding correlation values of 0.0007 (normal), 0.0044 (partial loosening), and 0.0116 (complete loosening), demonstrating a clear positive correlation with fault progression. Experimental validation confirmed the model’s reliability, with the simulations matching the test results. This approach addresses the limitations of traditional methods by incorporating high-frequency analysis and multi-physics modeling, significantly improving early fault detection accuracy and providing a quantifiable diagnostic framework for transformer core health monitoring. © 2025 by the authors.","fault diagnosis; joint algorithm; loosening fault; transformer core; vibration waveform","Electric transformer testing; Machine vibrations; Magnetostriction; Natural frequencies; Detection accuracy; Empirical Mode Decomposition; Faults diagnosis; High frequency components; Higher-frequency components; Joint algorithms; Loosening fault; Simulation analysis; Transformer core; Vibration waveforms; Vibration analysis","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218474165"
"Domingues R.K.; Cordioli J.A.; Silva D.; de Souza Braga D.; Miron G.C.","Domingues, Racquel Knust (59425197300); Cordioli, Júlio A. (25646042300); Silva, Danilo (22036396200); de Souza Braga, Danilo (57203330211); Miron, Guilherme Cartagena (58643954800)","59425197300; 25646042300; 22036396200; 57203330211; 58643954800","Evaluation of the Use of the Angular Domain and Order Domain in a Bearing Fault Detection Framework using Deep Learning","2024","Proceedings of the Annual Conference of the Prognostics and Health Management Society, PHM ","16","1","","","","","0","10.36001/phmconf.2024.v16i1.4146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210224959&doi=10.36001%2fphmconf.2024.v16i1.4146&partnerID=40&md5=2c7a23e916027e070bd1bf140fec648e","Bearing failures are very common in the industrial environment, requiring effective fault detection methods, which can be categorized into physics-based, knowledge-based and data-driven types. Data-driven methods are efficient in differentiating healthy conditions from faulty conditions by characterizing machine signals, involving stages of data acquisition, feature extraction, and condition determination. Traditionally, feature extraction and condition determination were manual, but advances in artificial intelligence and machine learning, especially deep learning, have automated this process. Although deep learning can automatically learn features from input data, the signal domain can affects model performance. Time and frequency domain representations are widely used in fault detection methodologies using vibration signals. In contrast, angular and order domains are more common in variable operating conditions, but their direct use with deep learning remains rare in the literature. Considering this, this study evaluates a bearing fault detection methodology using vibration signals in different domains (time, frequency, angular, and order) under various rotational conditions. Three distinct approaches were tested to assess the effectiveness of these representations. Results showed the frequency domain had the best performance, and the study concluded that angular and order domains offer no significant advantage over it. Nonetheless, it is recommended to conduct a more in-depth analysis with more diverse datasets, especially those containing early-stage bearing fault signals. © 2024 Prognostics and Health Management Society. All rights reserved.","","Adversarial machine learning; Contrastive Learning; Deep learning; Domain Knowledge; Fault detection; Vibration analysis; Angular domain; Bearing failures; Bearing fault detection; Condition; Detection framework; Faults detection; Features extraction; Industrial environments; Order domain; Vibration signal; Frequency domain analysis","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85210224959"
"Xiaolin W.; Hongkun L.; Zhihua C.","Xiaolin, Wang (56258488600); Hongkun, Li (16177166200); Zhihua, Cheng (59235685800)","56258488600; 16177166200; 59235685800","Fault diagnosis of control valves based on small-sample hybrid physics improved Resnet","2024","Measurement Science and Technology","35","10","106130","","","","1","10.1088/1361-6501/ad5f4b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199682794&doi=10.1088%2f1361-6501%2fad5f4b&partnerID=40&md5=855d588bdd295facf1db7ea924b8486d","Pneumatic control valves, as vital components of industrial process automation, ensure the smooth operation of industrial production systems. However, they are susceptible to various malfunctions due to harsh working environments and complex transmission media, which can significantly impact production safety and efficiency. To address the challenge of obtaining fault data in actual operational settings, we constructed a fault test bench for pneumatic control valves and simulated a variety of fault conditions. We collected 421 fault data samples across four valve opening conditions, categorizing them into 27 distinct states with varying sample sizes, averaging 3-4 samples per state. To tackle the small-sample issue, we proposed a data augmentation method using periodic extension, validated through comparative analysis with other algorithms. Additionally, we innovatively analyze the data flow of pneumatic control valves and explore the relationships between different parameters. Based on these relationships, the input structure of the residual network is optimized. The above theoretical approach reduces the number of variables that need to be captured by the pneumatic control valve inspection system. Finally, through experiments under extreme conditions, our approach successfully diagnoses faults in 26 subclasses of pneumatic control valves, providing a reliable safeguard for industrial production safety and stability. © 2024 IOP Publishing Ltd.","fault diagnosis; hybrid physics deep learning; pneumatic control valve; small-sample","Accident prevention; Deep learning; Fault detection; Pneumatics; Safety valves; Control valves; Fault data; Faults diagnosis; Hybrid physic deep learning; Industrial processs; Industrial production; Pneumatic control valve; Process automation; Production safety; Small samples; Failure analysis","Article","Final","","Scopus","2-s2.0-85199682794"
"Kohtz S.; Renteria A.; Rodriguez A.; Lalwani A.; Samarakoon A.; Haran K.S.; Senesky D.; Wang P.","Kohtz, Sara (57216610252); Renteria, Anabel (57210109916); Rodriguez, Aaron (57442375900); Lalwani, Anand (57286244100); Samarakoon, Anjana (57226838683); Haran, Kiruba Sivasubramaniam (57674764900); Senesky, Debbie (34979165100); Wang, Pingfeng (15833417000)","57216610252; 57210109916; 57442375900; 57286244100; 57226838683; 57674764900; 34979165100; 15833417000","Partial discharge diagnosis in electric motor with digital twin model-enhanced ensemble learning","2025","Reliability Engineering and System Safety","264","","111370","","","","0","10.1016/j.ress.2025.111370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010077459&doi=10.1016%2fj.ress.2025.111370&partnerID=40&md5=1f8b123b39b563d8bfead4b46d5682cc","Partial Discharge (PD), a localized dielectric breakdown of an electrical insulation system, is considered the main cause of aging, insulation deterioration, and failure in medium and high-voltage systems; directly affecting the reliability of the operating equipment. Therefore, it is imperative to determine a real-time PD monitoring system, that can consider relevant sensor data which is continuously collected and analyzed. In this study, hall-effect sensors are chosen to detect changes in the magnetic flux, this signal is processed to detect and localize PD within a permanent magnet synchronous motor (PMSM). Traditionally, methods for PD detection require invasive current sensors, or expensive optical sensors for accurate localization. In this study, we show that the use of hall effect sensors with advanced machine learning techniques can accurately detect and localize PD in a PMSM. The proposed framework combines time series modeling, machine learning for data generation, digital twin modeling, and ensemble learning for detection and localization of PD. This methodology is generalizable for discrete-time faults within various engineered systems. For our application, experimental data is very limited, so a finite element (FE) simulation model is implemented to create initial datasets. From this data, a time-series model is utilized to indicate the instance of PD. This model is able to detect PD within a certain range around the hall-effect sensor, and ultimately an optimal network of sensors can be determined. Next, features are determined based on physics and first principles, which are then inputted into the ensemble learning classifier for localization of PD within the PMSM. This technique is enhanced by a digital twin model, namely a simulation of the healthy motor running in parallel. The difference between the healthy magnetic flux and the PD magnetic flux enables the classifier to make accurate localization. Since this machine learning model requires an adequate amount of training data, a Gaussian Process Regression model is utilized as a surrogate model to generate the necessary data. PD diagnostics is a big challenge in recent literature, and our proposed method has shown effectiveness for not only detecting PD, but also localizing it. The first stage stacking classifier, which localizes the PD to the winding section, has 100% accuracy and a Brier score of 0.02. The second stage bagging classifier, which localizes with more precision within the winding, has an accuracy of 83%, with a Brier score of 0.21. This is a satisfactory performance for PD diagnostics in PMSMs, especially with a noninvasive hall effect sensor. In addition, the proposed framework has the potential to be a generic monitoring system for discrete-time faults in various new engineering applications, where there may exist very little data and information for analysis. © 2025","Digital twin; Ensemble learning; Fault detection; Hall effect sensor; Partial discharge; Permanent magnet synchronous motor","Deterioration; Digital twin; Electric motors; Electric windings; Gaussian distribution; Hall effect; Hall effect transducers; Learning algorithms; Learning systems; Machine learning; Magnetic flux; Regression analysis; Time series; Winding; Dielectrics breakdown; Discrete time; Ensemble learning; Faults detection; Hall-effect sensors; Localisation; Localised; Partial discharge diagnosis; Permanent Magnet Synchronous Motor; Times series models; Fault detection; Partial discharges","Article","Final","","Scopus","2-s2.0-105010077459"
"Keizers L.S.; Loendersloot R.; Tinga T.","Keizers, Luc S. (57783614200); Loendersloot, R. (8504539700); Tinga, T. (16308137200)","57783614200; 8504539700; 16308137200","Bond graphs for quantitative fault diagnostics to support Bayesian filtering-based failure prognostics","2025","Mechanical Systems and Signal Processing","237","","113093","","","","0","10.1016/j.ymssp.2025.113093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011201077&doi=10.1016%2fj.ymssp.2025.113093&partnerID=40&md5=d4ded78535310b9ccf52bc41048a430a","Predictive maintenance has a lot of potential in preventing catastrophic and expensive failures and in optimizing maintenance logistics. Bayesian filters can be used for prognostics as they can update physics-of-failure models, establishing a quantitative relation between asset usage and the remaining useful life. However, such filters require real-time direct condition measurements (e.g. crack length), while in many practical applications, only indirect condition measurements (e.g. vibrations), are available. A quantitative diagnostic algorithm that converts indirect into direct condition measurements is needed to create the required input for Bayesian filters. Such a diagnostic algorithm requires (labeled) degradation data, which are often unavailable for real-world applications. Therefore, simulation models can be helpful to generate synthetic degradation data. This paper proposes to use bond graphs for the generation of synthetic degradation data. Bond graphs are especially helpful due to their modularity and reusability. The creation of synthetic degradation data is demonstrated on a case study concerning outer race damage of a rolling-element bearing. An existing algorithm for fault size estimation is applied to the synthetic data generated by bond graphs. The fault size, derived by the quantitative diagnostics algorithm, is implemented in a prognostic framework based on a Bayesian filter. It is shown that the bond graph accurately creates synthetic failure data. Furthermore, it is demonstrated that existing diagnostic methods are insufficiently accurate to represent all damage shapes in bearings while bond graphs create vibration data for specific fault shapes. Therefore, bond graphs can improve quantitative diagnostics. © 2025 The Authors","Bearings; Bond graphs; Diagnostics; Particle filter; Predictive maintenance; Prognostics","Bayesian networks; Condition monitoring; Failure (mechanical); Fault detection; Graph algorithms; Graphic methods; Outages; Predictive maintenance; Reusability; Signal filtering and prediction; Bayesian filters; Bearing; Bond graph; Condition; Degradation data; Diagnostic; Diagnostic algorithms; Particle filter; Predictive maintenance; Prognostic; Plasma diagnostics","Article","Final","","Scopus","2-s2.0-105011201077"
"Liu Y.; Ren Q.","Liu, Yang (57216668955); Ren, Qingqing (59712918900)","57216668955; 59712918900","Online incremental learning approach of heat pump and chiller models based on the dynamic random forests in queue structure","2025","Energy","323","","135840","","","","2","10.1016/j.energy.2025.135840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001416904&doi=10.1016%2fj.energy.2025.135840&partnerID=40&md5=7b6c7f2f2064725444ceb2a281b73af1","Machine learning has been widely utilized in modeling heat pumps and chillers to predict key parameters such as the coefficient of performance (COP) and develop physics-data hybrid-driven models. However, during the online engineering applications, factors such as equipment aging, faults, upgrades and expanded operating conditions can cause dataset shifts and dynamic changes in thermodynamic performance, leading to model failures. To address these challenges, this study introduces an online incremental learning approach based on a novel algorithm, the dynamic random forests in queue structure (DRFQS). This algorithm incorporates a universally applicable dataset shift detection method and clear stability-plasticity balance control. By integrating COP DRFQS predictors with mechanism models, heat pump and chiller models with self-evolution capabilities were developed. Simulation results including over 100 COP drop fault scenarios demonstrate that the self-evolution models outperform non-evolvable models trained via offline batch learning. The self-evolution models autonomously adapt to new time-varying and condition-dependent patterns in thermodynamic performance without interruptions, effectively overcoming dataset shift issues during long-term use. The models significantly enhance prediction accuracy for COP, thermodynamic perfection, and other parameters with prediction errors decreased by 37.1 %∼84.6 %. The study addressed the limitations of offline batch learning, offering an advanced AI-enhanced approach for HVAC system modeling. © 2025 Elsevier Ltd","Chiller; Heat pump; Online incremental learning; Physics-data hybrid-driven model; Random forests","Cooling systems; Chiller; Coefficient of Performance; Dataset shifts; Heat pumps; Hybrid-driven; Online incremental learning; Physic-data hybrid-driven model; Physics data; Random forests; Self- evolutions; algorithm; artificial intelligence; data set; machine learning; pump; thermodynamics; Heat pump systems","Article","Final","","Scopus","2-s2.0-105001416904"
"Chen X.; Chen X.; Zhu Z.","Chen, Xiaokang (59145757200); Chen, Xiaoliang (55385793400); Zhu, Zuqing (7404804166)","59145757200; 55385793400; 7404804166","Interpretable optical network fault detection and localization with multi-task graph prototype learning","2025","Journal of Optical Communications and Networking","17","9","","D73","D82","9","0","10.1364/JOCN.562633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011303895&doi=10.1364%2fJOCN.562633&partnerID=40&md5=cd2ff667e780369b4f6fd011a4111c9f","The recent advances in machine learning (ML) have promoted data-driven automated fault management in optical networks. However, existing ML-aided fault management approaches mainly rely on black-box models that lack intrinsic interpretability to secure their trustworthiness in mission-critical operation scenarios. In this paper, we propose an interpretable optical network fault detection and localization design leveraging multi-task graph prototype learning (MT-GPL). MT-GPL models an optical network and the optical performance monitoring data collected in it as graph-structured data and makes use of graph neural networks to learn graph embeddings that capture both topological correlations (for fault localization) and fault discriminative patterns (for root cause analysis). MT-GPL interprets its reasoning by (i) introducing a prototype layer that learns physics-aligned prototypes indicative of each fault class using the Monte Carlo tree search method and (ii) performing predictions based on the similarities between the embedding of an input graph and the learned prototypes. To enhance the scalability and interpretability of MT-GPL, we develop a multi-task architecture that performs concurrent fault localization and reasoning with node-level and device-level prototype learning and fault predictions. Performance evaluations show that our proposal achieves >6.5% higher prediction accuracy than the multi-layer perceptron model, while the visualizations of its reasoning processes verify the validity of its interpretability. © 2009-2012 Optica Publishing Group.","","Fault detection; Fault tree analysis; Fiber optic networks; Graph embeddings; Graph neural networks; Graph structures; Graph theory; Multi-task learning; Optical correlation; Fault detection and localization; Fault management; Interpretability; Learn+; Machine-learning; Multi tasks; Network faults; Optical-; Prototype learning; Tasks graph; Graphic methods","Article","Final","","Scopus","2-s2.0-105011303895"
"Safari A.; Tehranidoost M.H.; Sabahi M.","Safari, Ashkan (57222318518); Tehranidoost, Mohammad Hosein (59767942500); Sabahi, Mehran (23978691100)","57222318518; 59767942500; 23978691100","Optimal active unsupervised fault detection in cascaded h-bridge inverters based on machine learning","2025","Scientific Reports","15","1","15511","","","","0","10.1038/s41598-025-00583-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004194573&doi=10.1038%2fs41598-025-00583-5&partnerID=40&md5=b1933d89b3c6d5029f11aaa734c18cf3","Multi-Level Inverters (MLIs) are commonly used in high-voltage, high-power industrial applications. In this regard, their reliability, and health optimal performance are in the first priority. However, as the number of switches in a multilevel inverter increases, it comes so common to occur faults within the system. Ensuring the reliability of MLI is an important concern in power industries, making effective fault detection methods essential. Developing precise physics-based, model-based, and hardware-based models for fault detection is challenging, largely due to unknown parameters and incomplete understanding of the physical processes within the system. At this end, the proposed paper presents a highly efficient hyper-tuned machine learning (ML) model known as Isolation Forest (IF). This algorithm is an unsupervised method used for anomaly detection, which isolates outliers by recursively partitioning data points, as an effective way for identifying faults or rare events in large datasets with minimal computational complexity of the MLI system. To test this algorithm, a 17-level Cascaded H-Bridge (CHB) inverter is simulated with several faults, the proposed IF model is tested. In the next phase, the proposed model compared to the others, based on the performance indicators of F1-Score, Precision, Recall, and Accuracy, which the highest results retained for IF to have an accurate unsupervised fault detection model, that smoothens the way for a fully automated, and self-healing industrial application system. © The Author(s) 2025.","Artificial intelligence; Fault detection; Multi-level CHB inverters; Unsupervised learning","algorithm; article; artificial intelligence; electric potential; forest; human; learning; machine learning; outlier detection; reliability; simulation","Article","Final","","Scopus","2-s2.0-105004194573"
