+,Result #,X,Date Published,Title,Inventor,8,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
1,1,,2024-12-19,ADAPTIVE DIGITAL THERAPY SYSTEM WITH REAL-TIME EMOTIONAL STATE ANALYSIS AND SYMBOLIC LANGUAGE COMMUNICATION,"Fox; Brian Patrick",,,18/670815,2024-05-22,,,1/1,,"Fox; Brian Patrick",,,52.146088,
2,2,,2017-11-30,ANTI-GALECTIN ANTIBODY BIOMARKERS PREDICTIVE OF ANTI-IMMUNE CHECKPOINT AND ANTI-ANGIOGENESIS RESPONSES,"Hodi; F. Stephen et al.",,,15/523519,2015-10-30,,,1/1,,"Dana-Farber Cancer Institute, Inc.",,,13.131397,
1,3,,2023-11-21,Apparatus and method for adjusting a user nourishment selection based on nutrient diversity,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",17/833365,2022-06-06,"Blanchette; Joshua B",,1/1,,"KPN INNOVATIONS, LLC.",,,42.595654,
,4,,2024-06-27,APPARATUS AND METHOD OF DETERMINING A CONDITIONAL PROFILE ADJUSTMENT DATUM,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",18/426102,2024-01-29,,,1/1,,"KPN INNOVATIONS, LLC.",,,51.306004,
,5,,2024-09-19,APPARATUS AND METHODS FOR AUGMENTING VISION WITH REGION-OF-INTEREST BASED PROCESSING,"Park; Edwin Chongwoo et al.",,"SoftEye, Inc.",18/613100,2024-03-21,,,1/1,,"SoftEye, Inc.",,,30.442753,
,6,,2016-10-04,Apparatus and methods for implementing event-based updates in neuron networks,"Sinyavskiy; Oleg et al.",,QUALCOMM TECHNOLOGIES INC.,13/588774,2012-08-17,"Chaki; Kakali","Pellett; Daniel",1/1,,"Sinyavskiy; Oleg,Izhikevich; Eugene",,,24.484049,
1,7,,2014-03-20,"Application of Z-Webs and Z-factors to Analytics, Search Engine, Learning, Recognition, Natural Language, and Other Utilities","Tadayon; Saied et al.",,,13/781303,2013-02-28,,,382/118,,"Tadayon; Saied,Tadayon; Bijan",,,22.987612,
3,8,,2018-01-11,APPROXIMATE VALUE ITERATION WITH COMPLEX RETURNS BY BOUNDING,"Wright; Robert et al.",,,15/359122,2016-11-22,,,1/1,,The Research Foundation for the State University New York,,,45.567215,
1,9,,2022-05-12,ARCHITECTURE FOR EXPLAINABLE REINFORCEMENT LEARNING,"DALLI; Angelo et al.",,UMNAI Limited,17/525395,2021-11-12,,,1/1,,UMNAI Limited,,,63.029675,
,10,,2022-02-01,Artificial intelligence assisted service provisioning and modification for delivering message-based services,"Nagaraja; Chandra et al.",,"Jiseki Health, Inc.",17/093596,2020-11-09,"Nguyen; Thanh T",,1/1,,"Jiseki Health, Inc.",,,18.503864,
